11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
produits,produit,31
par,par,81
les,le,71
souffles,souffle,21
dosés,dosé,31
des,de,81
des,le,71
poêles,poêle,21
/.,/.,P
mais,mais,82
ce,ce,74
choix,choix,21
définitivement,définitivement,60
posé,posé,31
sur,sur,81
la,le,71
fleur,fleur,22
de,de,81
serre,serre,22
s',se,51
était,être,18
lui-même,lui-même,51
modifié,modifier,12
sous,sous,81
l',le,71
influence,influence,22
de,de,81
ses,son,73
idées,idée,22
générales,général,30
",",",",p
de,de,81
ses,son,73
opinions,opinion,22
maintenant,maintenant,60
arrêtées,arrêté,31
sur,sur,81
toute,tout,75
chose,chose,22
;,;,p
autrefois,autrefois,60
",",",",p
à,à,81
Paris,Paris,20
",",",",p
son,son,73
penchant,penchant,21
naturel,naturel,30
vers,vers,81
l',le,71
artifice,artifice,21
l',le,52
avait,avoir,18
conduit,conduire,12
à,à,81
délaisser,délaisser,14
la,le,71
véritable,véritable,30
fleur,fleur,22
pour,pour,81
son,son,73
image,image,22
fidèlement,fidèlement,60
exécutée,exécuté,31
",",",",p
grâce,grâce,22
aux,à,81
aux,le,71
miracles,miracle,21
des,de,81
des,le,71
caoutchoucs,caoutchouc,21
et,et,82
des,de,81
des,le,71
fils,fil,21
",",",",p
des,de,81
des,le,71
percalines,percaline,22
et,et,82
des,de,81
des,le,71
taffetas,taffetas,21
",",",",p
des,de,81
des,le,71
papiers,papier,21
et,et,82
des,de,81
des,le,71
velours,velours,21
/.,/.,P
il,il,51
possédait,posséder,18
ainsi,ainsi,60
une,un,71
merveilleuse,merveilleux,30
collection,collection,22
de,de,81
plantes,plante,22
des,de,81
des,le,71
tropiques,tropique,21
",",",",p
ouvrées,ouvré,31
par,par,81
les,le,71
doigts,doigt,21
de,de,81
profonds,profond,30
artistes,artiste,21
",",",",p
suivant,suivre,13
la,le,71
nature,nature,22
pas,pas,21
à,à,81
pas,pas,21
",",",",p
la,le,52
créant,créer,13
à,à,81
nouveau,nouveau,21
",",",",p
prenant,prendre,13
la,le,71
fleur,fleur,22
dès,dès,81
sa,son,73
naissance,naissance,22
",",",",p
la,le,52
menant,mener,13
à,à,81
maturité,maturité,22
",",",",p
la,le,52
simulant,simuler,13
jusqu',jusque,81
à,à,81
son,son,73
déclin,déclin,21
;,;,p
arrivant,arriver,13
à,à,81
noter,noter,14
les,le,71
nuances,nuance,22
les,le,71
plus,plus,60
infinies,infini,30
",",",",p
les,le,71
traits,trait,21
les,le,71
plus,plus,60
fugitifs,fugitif,30
de,de,81
son,son,73
réveil,réveil,21
ou,ou,82
de,de,81
son,son,73
repos,repos,21
;,;,p
observant,observer,13
la,le,71
tenue,tenue,22
de,de,81
ses,son,73
pétales,pétale,21
",",",",p
retroussés,retroussé,31
par,par,81
le,le,71
vent,vent,21
ou,ou,82
fripés,fripé,31
par,par,81
la,le,71
pluie,pluie,22
;,;,p
jetant,jeter,13
sur,sur,81
ses,son,73
corolles,corolle,22
matineuses,matineux,30
",",",",p
des,de,81
des,le,71
gouttes,goutte,22
de,de,81
rosée,rosée,22
en,en,81
gomme,gomme,22
;,;,p
la,le,52
façonnant,façonner,13
",",",",p
en,en,81
pleine,plein,30
floraison,floraison,22
",",",",p
alors,alors,60
que,que,83
les,le,71
branches,branche,22
se,se,51
courbent,courber,17
sous,sous,81
le,le,71
poids,poids,21
de,de,81
la,le,71
sève,sève,22
",",",",p
ou,ou,82
élançant,élancer,13
sa,son,73
tige,tige,22
sèche,sec,30
",",",",p
sa,son,73
cupule,cupule,22
racornie,racorni,31
",",",",p
quand,quand,83
les,le,71
calices,calice,21
se,se,51
dépouillent,dépouiller,17
et,et,82
quand,quand,83
les,le,71
feuilles,feuille,22
tombent,tomber,17
/.,/.,P
cet,ce,74
art,art,21
admirable,admirable,30
l',le,52
avait,avoir,18
longtemps,longtemps,60
séduit,séduire,12
",",",",p
mais,mais,82
il,il,51
rêvait,rêver,18
maintenant,maintenant,60
à,à,81
la,le,71
combinaison,combinaison,22
d',de,81
une,un,71
autre,autre,75
flore,flore,22
/.,/.,P
après,après,81
les,le,71
fleurs,fleur,22
factices,factice,30
singeant,singer,13
les,le,71
véritables,véritable,30
fleurs,fleur,22
",",",",p
il,il,51
voulait,vouloir,18
des,de,81
des,le,71
fleurs,fleur,22
naturelles,naturel,30
imitant,imiter,13
des,de,81
des,le,71
fleurs,fleur,22
fausses,faux,30
/.,/.,P
il,il,51
dirigea,diriger,19
ses,son,73
pensées,pensée,22
dans,dans,81
ce,ce,74
sens,sens,21
;,;,p
il,il,51
n',ne,60
eut,avoir,19
point,point,60
à,à,81
chercher,chercher,14
longtemps,longtemps,60
",",",",p
à,à,81
aller,aller,14
loin,loin,60
",",",",p
puisque,puisque,83
sa,son,73
maison,maison,22
était,être,18
située,situer,12
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
du,de,81
du,le,71
pays,pays,21
des,de,81
des,le,71
grands,grand,30
horticulteurs,horticulteur,21
/.,/.,P
il,il,51
s',se,51
en,en,52
fut,être,19
tout,tout,60
bonnement,bonnement,60
visiter,visiter,14
les,le,71
serres,serre,22
de,de,81
l',le,71
avenue,avenue,22
de,de,81
Châtillon,Châtillon,20
et,et,82
de,de,81
la,le,71
vallée,vallée,22
d',de,81
Aunay,Aunay,20
",",",",p
revint,revenir,19
éreinté,éreinté,31
",",",",p
la,le,71
bourse,bourse,22
vide,vide,30
",",",",p
émerveillé,émerveillé,31
des,de,81
des,le,71
folies,folie,22
de,de,81
végétation,végétation,22
qu',que,52
il,il,51
avait,avoir,18
vues,voir,12
",",",",p
ne,ne,60
pensant,penser,13
plus,plus,60
qu',que,83
aux,à,81
aux,le,71
espèces,espèce,22
qu',que,52
il,il,51
avait,avoir,18
acquises,acquérir,12
",",",",p
hanté,hanter,12
sans,sans,81
trêve,trêve,22
par,par,81
des,de,81
des,le,71
souvenirs,souvenir,21
de,de,81
corbeilles,corbeille,22
magnifiques,magnifique,30
et,et,82
bizarres,bizarre,30
/.,/.,P
deux,deux,72
jours,jour,21
après,après,81
",",",",p
les,le,71
voitures,voiture,22
arrivèrent,arriver,19
/.,/.,P
sa,son,73
liste,liste,22
à,à,81
la,le,71
main,main,22
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
appelait,appeler,18
",",",",p
vérifiait,vérifier,18
ses,son,73
emplettes,emplette,22
",",",",p
une,un,52
à,à,81
une,un,52
/.,/.,P
les,le,71
jardiniers,jardinier,21
descendirent,descendre,19
de,de,81
leurs,leur,73
carrioles,carriole,22
une,un,71
collection,collection,22
de,de,81
caladiums,caladion,21
qui,qui,52
appuyaient,appuyer,18
sur,sur,81
des,de,81
des,le,71
tiges,tige,22
turgides,turgide,30
et,et,82
velues,velu,30
d',de,81
énormes,énorme,30
feuilles,feuille,22
",",",",p
de,de,81
la,le,71
forme,forme,22
d',de,81
un,un,71
coeur,coeur,21
;,;,p
tout,tout,60
en,en,81
conservant,conserver,13
entre,entre,81
eux,ils,51
un,un,71
air,air,21
de,de,81
parenté,parenté,22
",",",",p
aucun,aucun,52
ne,ne,60
se,se,51
répétait,répéter,18
/.,/.,P
il,il,51
y,y,52
en,en,52
avait,avoir,18
d',de,81
extraordinaires,extraordinaire,30
",",",",p
des,de,81
des,le,71
rosâtres,rosâtre,30
",",",",p
tels,tel,75
que,que,83
le,le,71
virginale,virginal,30
qui,qui,52
semblait,sembler,18
découpé,découpé,31
dans,dans,81
de,de,81
la,le,71
toile,toile,22
vernie,verni,31
",",",",p
dans,dans,81
du,de,81
du,le,71
taffetas,taffetas,21
gommé,gommé,31
d',de,81
Angleterre,Angleterre,20
;,;,p
de,de,81
tout,tout,60
blancs,blanc,30
",",",",p
tels,tel,75
que,que,83
l',le,71
albane,albane,21
",",",",p
qui,qui,52
paraissait,paraître,18
taillé,taillé,31
dans,dans,81
la,le,71
plèvre,plèvre,22
transparente,transparent,30
d',de,81
un,un,71
boeuf,boeuf,21
",",",",p
dans,dans,81
la,le,71
vessie,vessie,22
diaphane,diaphane,30
d',de,81
un,un,71
porc,porc,21
;,;,p
quelques-uns,quelqu'un,52
",",",",p
surtout,surtout,60
le,le,71
madame,madame,22
Mame,Mame,20
",",",",p
imitaient,imiter,18
le,le,71
zinc,zinc,21
",",",",p
parodiaient,parodier,18
des,de,81
des,le,71
morceaux,morceau,21
de,de,81
métal,métal,21
estampé,estampé,31
",",",",p
teints,teint,31
en,en,81
vert,vert,21
empereur,empereur,21
",",",",p
salis,sali,31
par,par,81
des,de,81
des,le,71
gouttes,goutte,22
de,de,81
peinture,peinture,22
à,à,81
l',le,71
huile,huile,22
",",",",p
par,par,81
des,de,81
des,le,71
taches,tache,22
de,de,81
minium,minium,21
et,et,82
de,de,81
céruse,céruse,22
;,;,p
ceux-ci,celui-ci,52
",",",",p
comme,comme,83
le,le,71
Bosphore,Bosphore,20
",",",",p
donnaient,donner,18
l',le,71
illusion,illusion,22
d',de,81
un,un,71
calicot,calicot,21
empesé,empesé,31
",",",",p
caillouté,caillouté,31
de,de,81
cramoisi,cramoisi,30
et,et,82
de,de,81
vert,vert,30
myrte,myrte,21
;,;,p
ceux-là,celui-là,52
",",",",p
comme,comme,83
l',le,71
aurore,aurore,22
boréale,boréal,30
",",",",p
étalaient,étaler,18
une,un,71
feuille,feuille,22
couleur,couleur,22
de,de,81
viande,viande,22
crue,cru,31
",",",",p
striée,strié,31
de,de,81
côtes,côte,22
pourpre,pourpre,30
",",",",p
de,de,81
fibrilles,fibrille,22
violacées,violacé,31
",",",",p
une,un,71
feuille,feuille,22
tuméfiée,tuméfié,30
",",",",p
suant,suer,13
le,le,71
vin,vin,21
bleu,bleu,30
et,et,82
le,le,71
sang,sang,21
/.,/.,P
avec,avec,81
l',le,71
albane,albane,21
",",",",p
l',le,71
aurore,aurore,22
présentait,présenter,18
les,le,71
deux,deux,72
notes,note,22
extrêmes,extrême,30
du,de,81
du,le,71
tempérament,tempérament,21
",",",",p
l',le,71
apoplexie,apoplexie,22
et,et,82
la,le,71
chlorose,chlorose,22
de,de,81
cette,ce,74
plante,plante,22
/.,/.,P
les,le,71
jardiniers,jardinier,21
apportèrent,apporter,19
encore,encore,60
de,de,81
nouvelles,nouveau,30
variétés,variété,22
;,;,p
elles,ils,51
affectaient,affecter,18
",",",",p
cette,ce,74
fois,fois,22
",",",",p
une,un,71
apparence,apparence,22
de,de,81
peau,peau,22
factice,factice,30
sillonnée,sillonné,31
de,de,81
fausses,faux,30
veines,veine,22
;,;,p
et,et,82
",",",",p
la,le,71
plupart,plupart,22
",",",",p
comme,comme,83
rongées,rongé,31
par,par,81
des,de,81
des,le,71
syphilis,syphilis,22
et,et,82
des,de,81
des,le,71
lèpres,lèpre,22
",",",",p
tendaient,tendre,18
des,de,81
des,le,71
chairs,chair,22
livides,livide,30
",",",",p
marbrées,marbré,31
de,de,81
roséoles,roséole,22
",",",",p
damassées,damassé,30
de,de,81
dartres,dartre,22
;,;,p
d',de,81
autres,autre,52
avaient,avoir,18
le,le,71
ton,ton,21
rose,rose,30
vif,vif,30
des,de,81
des,le,71
cicatrices,cicatrice,22
qui,qui,52
se,se,51
ferment,fermer,17
ou,ou,82
la,le,71
teinte,teinte,22
brune,brun,30
des,de,81
des,le,71
croûtes,croûte,22
qui,qui,52
se,se,51
forment,former,17
;,;,p
d',de,81
autres,autre,52
étaient,être,18
bouillonnées,bouillonné,31
par,par,81
des,de,81
des,le,71
cautères,cautère,21
",",",",p
soulevées,soulever,12
par,par,81
des,de,81
des,le,71
brûlures,brûlure,22
;,;,p
d',de,81
autres,autre,52
encore,encore,60
montraient,montrer,18
des,de,81
des,le,71
épidermes,épiderme,21
poilus,poilu,30
",",",",p
creusés,creuser,12
par,par,81
des,de,81
des,le,71
ulcères,ulcère,21
et,et,82
repoussés,repoussé,31
par,par,81
des,de,81
des,le,71
chancres,chancre,21
;,;,p
quelques-unes,quelqu'un,52
",",",",p
enfin,enfin,60
",",",",p
paraissaient,paraître,18
couvertes,couvert,31
de,de,81
pansements,pansement,21
",",",",p
plaquées,plaquer,12
d',de,81
axonge,axonge,22
noire,noir,30
mercurielle,mercuriel,30
",",",",p
d',de,81
onguents,onguent,21
verts,vert,30
de,de,81
belladone,belladone,22
",",",",p
piquées,piquer,12
de,de,81
grains,grain,21
de,de,81
poussière,poussière,22
",",",",p
par,par,81
les,le,71
micas,mica,21
jaunes,jaune,30
de,de,81
la,le,71
poudre,poudre,22
d',de,81
iodoforme,iodoforme,21
/.,/.,P
réunies,réuni,31
entre,entre,81
elles,ils,51
",",",",p
ces,ce,74
fleurs,fleur,22
éclatèrent,éclater,19
devant,devant,81
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
plus,plus,60
monstrueuses,monstrueux,30
que,que,83
lorsqu',lorsque,83
il,il,51
les,le,52
avait,avoir,18
surprises,surprendre,12
",",",",p
confondues,confondre,12
avec,avec,81
d',de,81
autres,autre,52
",",",",p
ainsi,ainsi,60
que,que,83
dans,dans,81
un,un,71
hôpital,hôpital,21
",",",",p
parmi,parmi,81
les,le,71
salles,salle,22
vitrées,vitré,30
des,de,81
des,le,71
serres,serre,22
/.,/.,P
-,-,p
sapristi,sapristi,93
!,!,p
fit,faire,19
il,il,51
enthousiasmé,enthousiasmé,31
/.,/.,P
une,un,71
nouvelle,nouveau,30
plante,plante,22
",",",",p
d',de,81
un,un,71
modèle,modèle,21
similaire,similaire,30
à,à,81
celui,celui,52
des,de,81
des,le,71
caladiums,caladion,21
",",",",p
l',le,71
“,“,p
alosacia,alosacia,92
metallica,metallica,92
“,“,p
",",",",p
l',le,52
exalta,exalter,19
encore,encore,60
/.,/.,P
celle-là,celui-là,52
était,être,18
enduite,enduire,12
d',de,81
une,un,71
couche,couche,22
de,de,81
vert,vert,30
bronze,bronze,21
sur,sur,81
laquelle,lequel,52
glissaient,glisser,18
des,de,81
des,le,71
reflets,reflet,21
d',de,81
argent,argent,21
;,;,p
elle,il,51
était,être,18
le,le,71
chef-d'oeuvre,chef-d'oeuvre,21
du,de,81
du,le,71
factice,factice,30
;,;,p
on,on,51
eût,avoir,19
dit,dire,12
d',de,81
un,un,71
morceau,morceau,21
de,de,81
tuyau,tuyau,21
de,de,81
poêle,poêle,21
",",",",p
découpé,découpé,31
en,en,81
fer,fer,21
de,de,81
pique,pique,21
",",",",p
par,par,81
un,un,71
fumiste,fumiste,21
/.,/.,P
les,le,71
hommes,homme,21
débarquèrent,débarquer,19
ensuite,ensuite,60
des,de,81
des,le,71
touffes,touffe,22
de,de,81
feuilles,feuille,22
",",",",p
losangées,losangé,30
",",",",p
vert,vert,21
bouteille,bouteille,22
;,;,p
au,à,81
au,le,71
milieu,milieu,21
s',se,51
élevait,élever,18
une,un,71
baguette,baguette,22
au,à,81
au,le,71
bout,bout,21
de,de,81
laquelle,lequel,52
tremblotait,trembloter,18
un,un,71
grand,grand,30
as,as,21
de,de,81
coeur,coeur,21
",",",",p
aussi,aussi,60
vernissé,vernissé,31
qu',que,83
un,un,71
piment,piment,21
;,;,p
comme,comme,83
pour,pour,81
narguer,narguer,14
tous,tout,75
les,le,71
aspects,aspect,21
connus,connu,31
des,de,81
des,le,71
plantes,plante,22
",",",",p
du,de,81
du,le,71
milieu,milieu,21
de,de,81
cet,ce,74
as,as,21
d',de,81
un,un,71
vermillon,vermillon,21
intense,intense,30
",",",",p
jaillissait,jaillir,18
une,un,71
queue,queue,22
charnue,charnu,30
",",",",p
cotonneuse,cotonneux,30
",",",",p
blanche,blanc,30
et,et,82
jaune,jaune,30
",",",",p
droite,droit,30
chez,chez,81
les,le,71
unes,un,52
",",",",p
tire-bouchonnée,tirebouchonné,31
",",",",p
tout,tout,52
en,en,81
haut,haut,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
de,de,81
même,même,60
qu',que,83
une,un,71
queue,queue,22
de,de,81
cochon,cochon,21
",",",",p
chez,chez,81
les,le,71
autres,autre,52
/.,/.,P
c',ce,52
était,être,18
l',le,71
anthurium,anthurium,21
",",",",p
une,un,71
aroïdée,aracée,22
récemment,récemment,60
importée,importé,31
de,de,81
Colombie,Colombie,20
en,en,81
France,France,20
;,;,p
elle,il,51
faisait,faire,18
partie,partie,22
d',de,81
un,un,71
lot,lot,21
de,de,81
cette,ce,74
famille,famille,22
à,à,81
laquelle,lequel,52
appartenait,appartenir,18
aussi,aussi,60
un,un,71
amorphophallus,amorphophallus,21
",",",",p
une,un,71
plante,plante,22
de,de,81
Cochinchine,Cochinchine,20
",",",",p
aux,à,81
aux,le,71
feuilles,feuille,22
taillées,taillé,31
en,en,81
truelles,truelle,22
à,à,81
poissons,poisson,21
",",",",p
aux,à,81
aux,le,71
longues,long,30
tiges,tige,22
noires,noir,30
couturées,couturé,31
de,de,81
balafres,balafre,22
",",",",p
pareilles,pareil,30
à,à,81
des,de,81
des,le,71
membres,membre,21
endommagés,endommagé,31
de,de,81
nègre,nègre,21
/.,/.,P
des,de,81
des,le,71
Esseintes,Esseintes,20
exultait,exulter,18
/.,/.,P
on,on,51
descendait,descendre,18
des,de,81
des,le,71
voitures,voiture,22
une,un,71
nouvelle,nouveau,30
fournée,fournée,22
de,de,81
monstres,monstre,21
:,:,p
des,de,81
des,le,71
Echinopsis,Echinopsis,20
",",",",p
sortant,sortir,13
de,de,81
compresses,compresse,22
en,en,81
ouate,ouate,22
des,de,81
des,le,71
fleurs,fleur,22
d',de,81
un,un,71
rose,rose,21
de,de,81
moignon,moignon,21
ignoble,ignoble,30
;,;,p
des,de,81
des,le,71
nidularium,nidularium,21
",",",",p
ouvrant,ouvrir,13
",",",",p
dans,dans,81
des,de,81
des,le,71
lames,lame,22
de,de,81
sabres,sabre,21
",",",",p
des,de,81
des,le,71
fondements,fondement,21
écorchés,écorché,31
et,et,82
béants,béant,30
;,;,p
des,de,81
des,le,71
“,“,p
tillandsia,tillandsia,21
lindeni,lindeni,21
“,“,p
tirant,tirer,13
des,de,81
des,le,71
grattoirs,grattoir,21
ébréchés,ébréché,31
",",",",p
couleur,couleur,22
de,de,81
moût,moût,21
de,de,81
vin,vin,21
;,;,p
des,de,81
des,le,71
cypripedium,cypripedium,21
",",",",p
aux,à,81
aux,le,71
contours,contour,21
compliqués,compliqué,31
",",",",p
incohérents,incohérent,30
",",",",p
imaginés,imaginé,31
par,par,81
un,un,71
inventeur,inventeur,21
en,en,81
démence,démence,22
/.,/.,P
ils,ils,51
ressemblaient,ressembler,18
à,à,81
un,un,71
sabot,sabot,21
",",",",p
à,à,81
un,un,71
vide-poche,vide-poche,22
",",",",p
au-dessus,au-dessus,60
duquel,de,81
duquel,lequel,52
se,se,51
retrousserait,retrousser,16
une,un,71
langue,langue,22
humaine,humain,30
",",",",p
au,à,81
au,le,71
filet,filet,21
tendu,tendu,31
",",",",p
telle,tel,75
qu',que,83
on,on,51
en,en,52
voit,voir,17
dessinées,dessiné,31
sur,sur,81
les,le,71
planches,planche,22
des,de,81
des,le,71
ouvrages,ouvrage,21
traitant,traiter,13
des,de,81
des,le,71
affections,affection,22
de,de,81
la,le,71
gorge,gorge,22
et,et,82
de,de,81
la,le,71
bouche,bouche,22
;,;,p
deux,deux,72
petites,petit,30
ailettes,ailette,22
",",",",p
rouge,rouge,21
de,de,81
jujube,jujube,21
",",",",p
qui,qui,52
paraissaient,paraître,18
empruntées,emprunté,31
à,à,81
un,un,71
moulin,moulin,21
d',de,81
enfant,enfant,21
",",",",p
complétaient,compléter,18
ce,ce,74
baroque,baroque,30
assemblage,assemblage,21
d',de,81
un,un,71
dessous,dessous,21
de,de,81
langue,langue,22
",",",",p
couleur,couleur,22
de,de,81
lie,lie,22
et,et,82
d',de,81
ardoise,ardoise,22
",",",",p
et,et,82
d',de,81
une,un,71
pochette,pochette,22
lustrée,lustré,31
dont,dont,52
la,le,71
doublure,doublure,22
suintait,suinter,18
une,un,71
visqueuse,visqueux,30
colle,colle,22
/.,/.,P
il,il,51
ne,ne,60
pouvait,pouvoir,18
détacher,détacher,14
ses,son,73
yeux,oeil,21
de,de,81
cette,ce,74
invraisemblable,invraisemblable,30
orchidée,orchidée,22
issue,issu,30
de,de,81
l',le,71
Inde,Inde,20
;,;,p
les,le,71
jardiniers,jardinier,21
que,que,52
ces,ce,74
lenteurs,lenteur,22
ennuyaient,ennuyer,18
se,se,51
mirent,mettre,17
à,à,81
annoncer,annoncer,14
",",",",p
eux-mêmes,eux-mêmes,51
",",",",p
à,à,81
haute,haut,30
voix,voix,22
",",",",p
les,le,71
étiquettes,étiquette,22
piquées,piqué,31
dans,dans,81
les,le,71
pots,pot,21
qu',que,52
ils,ils,51
apportaient,apporter,18
/.,/.,P
des,de,81
des,le,71
Esseintes,Esseintes,20
regardait,regarder,18
",",",",p
effaré,effaré,31
",",",",p
écoutant,écouter,13
sonner,sonner,14
les,le,71
noms,nom,21
rébarbatifs,rébarbatif,30
des,de,81
des,le,71
plantes,plante,22
vertes,vert,30
:,:,p
l',le,71
“,“,p
encephalarios,encephalarios,92
horridus,horridus,92
“,“,p
",",",",p
un,un,71
gigantesque,gigantesque,30
artichaut,artichaut,21
de,de,81
fer,fer,21
",",",",p
peint,peint,31
en,en,81
rouille,rouille,22
",",",",p
tel,tel,75
qu',que,83
on,on,51
en,en,52
met,mettre,17
aux,à,81
aux,le,71
portes,porte,22
des,de,81
des,le,71
châteaux,château,21
",",",",p
afin,afin,81
d',de,81
empêcher,empêcher,14
les,le,71
escalades,escalade,22
;,;,p
le,le,71
“,“,p
cocos,coco,21
micania,micania,92
“,“,p
",",",",p
une,un,71
sorte,sorte,22
de,de,81
palmier,palmier,21
",",",",p
dentelé,dentelé,30
et,et,82
grêle,grêle,30
",",",",p
entouré,entouré,31
",",",",p
de,de,81
toutes,tout,75
parts,part,22
",",",",p
par,par,81
de,de,81
hautes,haut,30
feuilles,feuille,22
semblables,semblable,30
à,à,81
des,de,81
des,le,71
pagaies,pagaie,22
et,et,82
à,à,81
des,de,81
des,le,71
rames,rame,22
;,;,p
le,le,71
“,“,p
zamia,zamia,21
lehmanni,lehmanni,30
“,“,p
",",",",p
un,un,71
immense,immense,30
ananas,ananas,21
",",",",p
un,un,71
prodigieux,prodigieux,30
pain,pain,21
de,de,81
Chester,Chester,20
",",",",p
planté,planté,31
dans,dans,81
de,de,81
la,le,71
terre,terre,22
de,de,81
bruyère,bruyère,22
et,et,82
hérissé,hérissé,31
",",",",p
à,à,81
son,son,73
sommet,sommet,21
",",",",p
de,de,81
javelots,javelot,21
barbelés,barbelé,31
et,et,82
de,de,81
flèches,flèche,22
sauvages,sauvage,30
;,;,p
le,le,71
“,“,p
cibotium spectabile,cibotium spectabile,21
“,“,p
",",",",p
enchérissant,enchérir,13
sur,sur,81
ses,son,73
congénères,congénère,21
",",",",p
par,par,81
la,le,71
folie,folie,22
de,de,81
sa,son,73
structure,structure,22
",",",",p
jetant,jeter,13
un,un,71
défi,défi,21
au,à,81
au,le,71
rêve,rêve,21
",",",",p
en,en,81
élançant,élancer,13
dans,dans,81
un,un,71
feuillage,feuillage,21
palmé,palmé,31
",",",",p
une,un,71
énorme,énorme,30
queue,queue,22
d',de,81
orang-outang,orang-outan,21
",",",",p
une,un,71
queue,queue,22
velue,velu,30
et,et,82
brune,brun,30
au,à,81
au,le,71
bout,bout,21
contourné,contourné,31
en,en,52
crosse,crosser,17
d',de,81
évêque,évêque,21
/.,/.,P
mais,mais,82
il,il,51
les,le,52
contemplait,contempler,18
à,à,81
peine,peine,22
",",",",p
attendait,attendre,18
avec,avec,81
impatience,impatience,22
la,le,71
série,série,22
des,de,81
des,le,71
plantes,plante,22
qui,qui,52
le,le,52
séduisaient,séduire,18
",",",",p
entre,entre,81
toutes,tout,52
",",",",p
les,le,71
goules,goule,22
végétales,végétal,30
",",",",p
les,le,71
plantes,plante,22
carnivores,carnivore,30
",",",",p
le,le,71
gobe-mouche,gobe-mouche,21
des,de,81
des,le,71
Antilles,Antille,20
",",",",p
au,à,81
au,le,71
limbe,limbe,22
pelucheux,pelucheux,30
",",",",p
sécrétant,sécréter,13
un,un,71
liquide,liquide,21
digestif,digestif,30
",",",",p
muni,muni,31
d',de,81
épines,épine,22
courbes,courbe,30
se,se,51
repliant,replier,13
",",",",p
les,le,71
unes,un,52
sur,sur,81
les,le,71
autres,autre,52
",",",",p
formant,former,13
une,un,71
grille,grille,22
au-dessus,au-dessus,60
de,de,81
l',le,71
insecte,insecte,21
qu',que,52
il,il,51
emprisonne,emprisonner,17
;,;,p
les,le,71
drosera,drosera,21
des,de,81
des,le,71
tourbières,tourbière,22
garnis,garni,31
de,de,81
crins,crin,21
glanduleux,glanduleux,30
",",",",p
les,le,71
sarracena,sarracena,21
",",",",p
les,le,71
cephalothus,cephalothus,21
",",",",p
ouvrant,ouvrir,13
de,de,81
voraces,vorace,30
cornets,cornet,21
capables,capable,30
de,de,81
digérer,digérer,14
",",",",p
d',de,81
absorber,absorber,14
",",",",p
de,de,81
véritables,véritable,30
viandes,viande,22
;,;,p
enfin,enfin,60
le,le,71
népenthès,népenthès,21
dont,dont,52
la,le,71
fantaisie,fantaisie,22
dépasse,dépasser,17
les,le,71
limites,limite,22
connues,connu,31
des,de,81
des,le,71
excentriques,excentrique,30
formes,forme,22
/.,/.,P
il,il,51
ne,ne,60
put,pouvoir,19
se,se,51
lasser,lasser,14
de,de,81
tourner,tourner,14
et,et,82
de,de,81
retourner,retourner,14
entre,entre,81
ses,son,73
mains,main,22
",",",",p
le,le,71
pot,pot,21
où,où,60
s',se,51
agitait,agiter,18
cette,ce,74
extravagance,extravagance,22
de,de,81
la,le,71
flore,flore,22
/.,/.,P
elle,il,51
imitait,imiter,18
le,le,71
caoutchouc,caoutchouc,21
dont,dont,52
elle,il,51
avait,avoir,18
la,le,71
feuille,feuille,22
allongée,allongé,31
",",",",p
d',de,81
un,un,71
vert,vert,21
métallique,métallique,30
et,et,82
sombre,sombre,30
",",",",p
mais,mais,82
du,de,81
du,le,71
bout,bout,21
de,de,81
cette,ce,74
feuille,feuille,22
pendait,pendre,18
une,un,71
ficelle,ficelle,22
verte,vert,30
",",",",p
descendait,descendre,18
un,un,71
cordon,cordon,21
ombilical,ombilical,30
supportant,supporter,13
une,un,71
urne,urne,22
verdâtre,verdâtre,30
",",",",p
jaspée,jaspé,31
de,de,81
violet,violet,21
",",",",p
une,un,71
espèce,espèce,22
de,de,81
pipe,pipe,22
allemande,allemand,30
en,en,81
porcelaine,porcelaine,22
",",",",p
un,un,71
nid,nid,21
d',de,81
oiseau,oiseau,21
singulier,singulier,30
",",",",p
qui,qui,52
se,se,51
balançait,balancer,18
",",",",p
tranquille,tranquille,30
",",",",p
montrant,montrer,13
un,un,71
intérieur,intérieur,21
tapissé,tapissé,31
de,de,81
poils,poil,21
/.,/.,P
-,-,p
celle-là,celui-là,52
va,aller,17
loin,loin,60
",",",",p
murmura,murmurer,19
des,de,81
des,le,71
Esseintes,Esseintes,20
/.,/.,P
il,il,51
dut,devoir,19
s',se,51
arracher,arracher,14
à,à,81
son,son,73
allégresse,allégresse,22
",",",",p
car,car,82
les,le,71
jardiniers,jardinier,21
",",",",p
pressés,pressé,31
de,de,81
partir,partir,14
",",",",p
vidaient,vider,18
le,le,71
fond,fond,21
de,de,81
leurs,leur,73
charrettes,charrette,22
",",",",p
plaçaient,placer,18
pêle-mêle,pêle-mêle,60
",",",",p
des,de,81
des,le,71
bégonias,bégonia,21
tubéreux,tubéreux,30
et,et,82
des,de,81
des,le,71
crotons,croton,21
noirs,noir,30
tachetés,tacheté,31
de,de,81
rouge,rouge,21
de,de,81
Saturne,Saturne,20
",",",",p
en,en,81
tôle,tôle,22
/.,/.,P
alors,alors,60
il,il,51
